Week ending,Group,DHB of service,Dose number,# doses administered,Notes: 
2021-05-09,Group 2,West Coast,1,422,
2021-05-09,Group 2,West Coast,2,107,
2021-05-09,Group 2,Whanganui,1,796,
2021-05-09,Group 2,Whanganui,2,448,
2021-05-09,Group 3,Auckland Metro,1,1086,
2021-05-09,Group 3,Auckland Metro,2,13,
2021-05-09,Group 3,Bay of Plenty,1,1092,
2021-05-09,Group 3,Canterbury,1,56,
2021-05-09,Group 3,Canterbury,2,13,
2021-05-09,Group 3,Capital & Coast and Hutt Valley,1,468,
2021-05-09,Group 3,Capital & Coast and Hutt Valley,2,19,
2021-05-09,Group 3,Hawke's Bay,1,17,
2021-05-09,Group 3,Lakes,1,373,
2021-05-09,Group 3,MidCentral,1,16,
2021-05-09,Group 3,MidCentral,2,16,
2021-05-09,Group 3,Nelson Marlborough,1,1567,
2021-05-09,Group 3,Nelson Marlborough,2,772,
2021-05-09,Group 3,Northland,1,263,
2021-05-09,Group 3,Northland,2,15,
2021-05-09,Group 3,Other Sites,1,7,
2021-05-09,Group 3,South Canterbury,1,243,
2021-05-09,Group 3,Southern,1,26,
2021-05-09,Group 3,Southern,2,42,
2021-05-09,Group 3,Waikato,1,647,
2021-05-09,Group 3,Waikato,2,21,
2021-05-09,Group 3,Wairarapa,1,28,
2021-05-09,Group 3,West Coast,1,24,
2021-05-09,Group 3,Whanganui,1,186,
2021-05-16,Group 1,Auckland Metro,1,839,
2021-05-16,Group 1,Auckland Metro,2,1882,
2021-05-16,Group 1,Bay of Plenty,1,21,
2021-05-16,Group 1,Bay of Plenty,2,59,
2021-05-16,Group 1,Canterbury,1,557,
2021-05-16,Group 1,Canterbury,2,1112,
2021-05-16,Group 1,Capital & Coast and Hutt Valley,1,353,
2021-05-16,Group 1,Capital & Coast and Hutt Valley,2,209,
2021-05-16,Group 1,Hawke's Bay,1,73,
2021-05-16,Group 1,Hawke's Bay,2,19,
2021-05-16,Group 1,Lakes,1,182,
2021-05-16,Group 1,Lakes,2,143,
2021-05-16,Group 1,MidCentral,1,18,
2021-05-16,Group 1,MidCentral,2,47,
2021-05-16,Group 1,Nelson Marlborough,1,42,
2021-05-16,Group 1,Nelson Marlborough,2,51,
2021-05-16,Group 1,Northland,1,7,
2021-05-16,Group 1,Northland,2,27,
2021-05-16,Group 1,Other Sites,1,563,
2021-05-16,Group 1,Other Sites,2,21,
2021-05-16,Group 1,South Canterbury,1,6,
2021-05-16,Group 1,South Canterbury,2,11,
2021-05-16,Group 1,Southern,1,93,
2021-05-16,Group 1,Southern,2,614,
2021-05-16,Group 1,Tairawhiti,1,11,
2021-05-16,Group 1,Tairawhiti,2,13,
2021-05-16,Group 1,Taranaki,1,5,
2021-05-16,Group 1,Taranaki,2,24,
2021-05-16,Group 1,Waikato,1,40,
2021-05-16,Group 1,Waikato,2,81,
2021-05-16,Group 1,Whanganui,2,5,
2021-05-16,Group 2,Auckland Metro,1,13949,
2021-05-16,Group 2,Auckland Metro,2,7675,
2021-05-16,Group 2,Bay of Plenty,1,1041,
2021-05-16,Group 2,Bay of Plenty,2,1561,
2021-05-16,Group 2,Canterbury,1,3898,
2021-05-16,Group 2,Canterbury,2,3251,
2021-05-16,Group 2,Capital & Coast and Hutt Valley,1,4539,
2021-05-16,Group 2,Capital & Coast and Hutt Valley,2,2053,
2021-05-16,Group 2,Hawke's Bay,1,1414,
2021-05-16,Group 2,Hawke's Bay,2,1150,
2021-05-16,Group 2,Lakes,1,632,
2021-05-16,Group 2,Lakes,2,1180,
2021-05-16,Group 2,MidCentral,1,1622,
2021-05-16,Group 2,MidCentral,2,771,
2021-05-16,Group 2,Nelson Marlborough,1,818,
2021-05-16,Group 2,Nelson Marlborough,2,1369,
2021-05-16,Group 2,Northland,1,1846,
2021-05-16,Group 2,Northland,2,1333,
2021-05-16,Group 2,Other Sites,1,1742,
2021-05-16,Group 2,Other Sites,2,184,
2021-05-16,Group 2,South Canterbury,1,289,
2021-05-16,Group 2,South Canterbury,2,705,
2021-05-16,Group 2,Southern,1,2039,
2021-05-16,Group 2,Southern,2,2979,
2021-05-16,Group 2,Tairawhiti,1,284,
2021-05-16,Group 2,Tairawhiti,2,610,
2021-05-16,Group 2,Taranaki,1,603,
2021-05-16,Group 2,Taranaki,2,160,
2021-05-16,Group 2,Waikato,1,2539,
2021-05-16,Group 2,Waikato,2,2497,
2021-05-16,Group 2,Wairarapa,1,495,
2021-05-16,Group 2,Wairarapa,2,523,
2021-05-16,Group 2,West Coast,1,399,
2021-05-16,Group 2,West Coast,2,268,
2021-05-16,Group 2,Whanganui,1,514,
2021-05-16,Group 2,Whanganui,2,606,
2021-05-16,Group 3,Auckland Metro,1,1802,
2021-05-16,Group 3,Auckland Metro,2,13,
2021-05-16,Group 3,Bay of Plenty,1,1910,
2021-05-16,Group 3,Canterbury,1,78,
2021-05-16,Group 3,Canterbury,2,19,
2021-05-16,Group 3,Capital & Coast and Hutt Valley,1,644,
2021-05-16,Group 3,Capital & Coast and Hutt Valley,2,50,
2021-05-16,Group 3,Hawke's Bay,1,79,
2021-05-16,Group 3,Hawke's Bay,2,49,
2021-05-16,Group 3,Lakes,1,341,
2021-05-16,Group 3,MidCentral,1,620,
2021-05-16,Group 3,MidCentral,2,5,
2021-05-16,Group 3,Nelson Marlborough,1,1391,
2021-05-16,Group 3,Nelson Marlborough,2,927,
2021-05-16,Group 3,Northland,1,261,
2021-05-16,Group 3,Northland,2,21,
2021-05-16,Group 3,Other Sites,1,15,
2021-05-16,Group 3,South Canterbury,1,133,
2021-05-16,Group 3,Southern,1,107,
2021-05-16,Group 3,Southern,2,130,
2021-05-16,Group 3,Taranaki,1,23,
2021-05-16,Group 3,Waikato,1,760,
2021-05-16,Group 3,Waikato,2,55,
2021-05-16,Group 3,Wairarapa,1,94,
2021-05-16,Group 3,West Coast,1,201,
2021-05-16,Group 3,Whanganui,1,238,
2021-05-23,Group 1,Auckland Metro,1,705,
2021-05-23,Group 1,Auckland Metro,2,2007,
2021-05-23,Group 1,Bay of Plenty,1,26,
2021-05-23,Group 1,Bay of Plenty,2,58,
2021-05-23,Group 1,Canterbury,1,355,
2021-05-23,Group 1,Canterbury,2,1032,
2021-05-23,Group 1,Capital & Coast and Hutt Valley,1,228,
2021-05-23,Group 1,Capital & Coast and Hutt Valley,2,232,
2021-05-23,Group 1,Hawke's Bay,1,6,
2021-05-23,Group 1,Hawke's Bay,2,22,
2021-05-23,Group 1,Lakes,1,13,
2021-05-23,Group 1,Lakes,2,263,
2021-05-23,Group 1,MidCentral,1,11,
2021-05-23,Group 1,MidCentral,2,29,
2021-05-23,Group 1,Nelson Marlborough,1,15,
2021-05-23,Group 1,Nelson Marlborough,2,43,
2021-05-23,Group 1,Northland,2,22,
2021-05-23,Group 1,Other Sites,1,34,
2021-05-23,Group 1,Other Sites,2,27,
2021-05-23,Group 1,South Canterbury,1,6,
2021-05-23,Group 1,South Canterbury,2,10,
2021-05-23,Group 1,Southern,1,74,
2021-05-23,Group 1,Southern,2,192,
2021-05-23,Group 1,Tairawhiti,1,9,
2021-05-23,Group 1,Tairawhiti,2,9,
2021-05-23,Group 1,Waikato,1,18,
2021-05-23,Group 1,Waikato,2,41,
2021-05-23,Group 1,Whanganui,1,23,
2021-05-23,Group 2,Auckland Metro,1,8198,
2021-05-23,Group 2,Auckland Metro,2,5223,
2021-05-23,Group 2,Bay of Plenty,1,997,
2021-05-23,Group 2,Bay of Plenty,2,1584,
2021-05-23,Group 2,Canterbury,1,2050,
2021-05-23,Group 2,Canterbury,2,4816,
2021-05-23,Group 2,Capital & Coast and Hutt Valley,1,958,
2021-05-23,Group 2,Capital & Coast and Hutt Valley,2,2143,
2021-05-23,Group 2,Hawke's Bay,1,639,
2021-05-23,Group 2,Hawke's Bay,2,1375,
2021-05-23,Group 2,Lakes,1,432,
2021-05-23,Group 2,Lakes,2,654,
2021-05-23,Group 2,MidCentral,1,1483,
2021-05-23,Group 2,MidCentral,2,931,
2021-05-23,Group 2,Nelson Marlborough,1,386,
2021-05-23,Group 2,Nelson Marlborough,2,1117,
2021-05-23,Group 2,Northland,1,1014,
2021-05-23,Group 2,Northland,2,1739,
2021-05-23,Group 2,Other Sites,1,1786,
2021-05-23,Group 2,Other Sites,2,530,
2021-05-23,Group 2,South Canterbury,1,201,
2021-05-23,Group 2,South Canterbury,2,586,
2021-05-23,Group 2,Southern,1,1869,
2021-05-23,Group 2,Southern,2,1872,
2021-05-23,Group 2,Tairawhiti,1,344,
2021-05-23,Group 2,Tairawhiti,2,219,
2021-05-23,Group 2,Taranaki,1,280,
2021-05-23,Group 2,Taranaki,2,292,
2021-05-23,Group 2,Waikato,1,1859,
2021-05-23,Group 2,Waikato,2,2260,
2021-05-23,Group 2,Wairarapa,1,105,
2021-05-23,Group 2,Wairarapa,2,400,
2021-05-23,Group 2,West Coast,1,254,
2021-05-23,Group 2,West Coast,2,340,
2021-05-23,Group 2,Whanganui,1,438,
2021-05-23,Group 2,Whanganui,2,763,
2021-05-23,Group 3,Auckland Metro,1,4373,
2021-05-23,Group 3,Auckland Metro,2,233,
2021-05-23,Group 3,Bay of Plenty,1,2445,
2021-05-23,Group 3,Canterbury,1,266,
2021-05-23,Group 3,Canterbury,2,16,
2021-05-23,Group 3,Capital & Coast and Hutt Valley,1,790,
2021-05-23,Group 3,Capital & Coast and Hutt Valley,2,72,
2021-05-23,Group 3,Hawke's Bay,1,469,
2021-05-23,Group 3,Lakes,1,1040,
2021-05-23,Group 3,Lakes,2,65,
2021-05-23,Group 3,MidCentral,1,588,
2021-05-23,Group 3,Nelson Marlborough,1,1944,
2021-05-23,Group 3,Nelson Marlborough,2,435,
2021-05-23,Group 3,Northland,1,768,
2021-05-23,Group 3,Northland,2,451,
2021-05-23,Group 3,Other Sites,1,485,
2021-05-23,Group 3,South Canterbury,1,41,
2021-05-23,Group 3,South Canterbury,2,7,
2021-05-23,Group 3,Southern,1,1010,
2021-05-23,Group 3,Southern,2,57,
2021-05-23,Group 3,Tairawhiti,1,144,
2021-05-23,Group 3,Taranaki,1,207,
2021-05-23,Group 3,Waikato,1,1445,
2021-05-23,Group 3,Waikato,2,162,
2021-05-23,Group 3,Wairarapa,1,398,
2021-05-23,Group 3,Wairarapa,2,20,
2021-05-23,Group 3,West Coast,1,533,
2021-05-23,Group 3,West Coast,2,6,
2021-05-23,Group 3,Whanganui,1,402,
2021-05-23,Group 3,Whanganui,2,7,
2021-05-23,Group 4,Auckland Metro,1,5077,
2021-05-23,Group 4,Auckland Metro,2,1977,
2021-05-23,Group 4,Bay of Plenty,1,164,
2021-05-23,Group 4,Canterbury,1,168,
2021-05-23,Group 4,Canterbury,2,5,
2021-05-23,Group 4,Capital & Coast and Hutt Valley,1,115,
2021-05-23,Group 4,Capital & Coast and Hutt Valley,2,208,
2021-05-23,Group 4,Hawke's Bay,1,361,
2021-05-23,Group 4,Hawke's Bay,2,5,
2021-05-23,Group 4,Lakes,1,71,
2021-05-23,Group 4,MidCentral,1,96,
2021-05-23,Group 4,Nelson Marlborough,1,27,
2021-05-23,Group 4,Northland,1,198,
2021-05-23,Group 4,Northland,2,160,
2021-05-23,Group 4,Other Sites,1,122,
2021-05-23,Group 4,South Canterbury,1,16,
2021-05-23,Group 4,Southern,1,228,
2021-05-23,Group 4,Tairawhiti,1,12,
2021-05-23,Group 4,Taranaki,1,106,
2021-05-23,Group 4,Waikato,1,173,
2021-05-23,Group 4,Waikato,2,18,
2021-05-23,Group 4,Wairarapa,1,9,
2021-05-23,Group 4,West Coast,1,113,
2021-05-23,Group 4,Whanganui,1,61,
2021-05-30,Group 1,Auckland Metro,1,386,
2021-05-30,Group 1,Auckland Metro,2,1352,
2021-05-30,Group 1,Bay of Plenty,1,65,
2021-05-30,Group 1,Bay of Plenty,2,93,
2021-05-30,Group 1,Canterbury,1,264,
2021-05-30,Group 1,Canterbury,2,833,
2021-05-30,Group 1,Capital & Coast and Hutt Valley,1,156,
2021-05-30,Group 1,Capital & Coast and Hutt Valley,2,445,
2021-05-30,Group 1,Hawke's Bay,1,33,
2021-05-30,Group 1,Hawke's Bay,2,12,
2021-05-30,Group 1,Lakes,1,20,
2021-05-30,Group 1,Lakes,2,236,
2021-05-30,Group 1,MidCentral,1,20,
2021-05-30,Group 1,MidCentral,2,25,
2021-05-30,Group 1,Nelson Marlborough,1,12,
2021-05-30,Group 1,Nelson Marlborough,2,53,
2021-05-30,Group 1,Northland,2,10,
2021-05-30,Group 1,Other Sites,1,67,
2021-05-30,Group 1,Other Sites,2,550,
2021-05-30,Group 1,Southern,1,68,
2021-05-30,Group 1,Southern,2,77,
2021-05-30,Group 1,Tairawhiti,1,15,
2021-05-30,Group 1,Tairawhiti,2,14,
2021-05-30,Group 1,Taranaki,1,22,
2021-05-30,Group 1,Taranaki,2,14,
2021-05-30,Group 1,Waikato,1,29,
2021-05-30,Group 1,Waikato,2,42,
2021-05-30,Group 1,Wairarapa,2,6,
2021-05-30,Group 2,Auckland Metro,1,9590,
2021-05-30,Group 2,Auckland Metro,2,9000,
2021-05-30,Group 2,Bay of Plenty,1,801,
2021-05-30,Group 2,Bay of Plenty,2,2507,
2021-05-30,Group 2,Canterbury,1,2188,
2021-05-30,Group 2,Canterbury,2,4595,
2021-05-30,Group 2,Capital & Coast and Hutt Valley,1,541,
2021-05-30,Group 2,Capital & Coast and Hutt Valley,2,3016,
2021-05-30,Group 2,Hawke's Bay,1,300,
2021-05-30,Group 2,Hawke's Bay,2,1711,
2021-05-30,Group 2,Lakes,1,385,
2021-05-30,Group 2,Lakes,2,834,
2021-05-30,Group 2,MidCentral,1,1352,
2021-05-30,Group 2,MidCentral,2,1380,
2021-05-30,Group 2,Nelson Marlborough,1,279,
2021-05-30,Group 2,Nelson Marlborough,2,821,
2021-05-30,Group 2,Northland,1,372,
2021-05-30,Group 2,Northland,2,1840,
2021-05-30,Group 2,Other Sites,1,901,
2021-05-30,Group 2,Other Sites,2,1143,
2021-05-30,Group 2,South Canterbury,1,88,
2021-05-30,Group 2,South Canterbury,2,595,
2021-05-30,Group 2,Southern,1,1059,
2021-05-30,Group 2,Southern,2,1676,
2021-05-30,Group 2,Tairawhiti,1,84,
2021-05-30,Group 2,Tairawhiti,2,128,
2021-05-30,Group 2,Taranaki,1,251,
2021-05-30,Group 2,Taranaki,2,493,
2021-05-30,Group 2,Waikato,1,1798,
2021-05-30,Group 2,Waikato,2,2942,
2021-05-30,Group 2,Wairarapa,1,37,
2021-05-30,Group 2,Wairarapa,2,597,
2021-05-30,Group 2,West Coast,1,197,
2021-05-30,Group 2,West Coast,2,403,
2021-05-30,Group 2,Whanganui,1,129,
2021-05-30,Group 2,Whanganui,2,800,
2021-05-30,Group 3,Auckland Metro,1,6200,
2021-05-30,Group 3,Auckland Metro,2,700,
2021-05-30,Group 3,Bay of Plenty,1,3293,
2021-05-30,Group 3,Bay of Plenty,2,467,
2021-05-30,Group 3,Canterbury,1,640,
2021-05-30,Group 3,Canterbury,2,34,
2021-05-30,Group 3,Capital & Coast and Hutt Valley,1,1619,
2021-05-30,Group 3,Capital & Coast and Hutt Valley,2,335,
2021-05-30,Group 3,Hawke's Bay,1,2055,
2021-05-30,Group 3,Hawke's Bay,2,5,
2021-05-30,Group 3,Lakes,1,1076,
2021-05-30,Group 3,Lakes,2,352,
2021-05-30,Group 3,MidCentral,1,924,
2021-05-30,Group 3,MidCentral,2,15,
2021-05-30,Group 3,Nelson Marlborough,1,2161,
2021-05-30,Group 3,Nelson Marlborough,2,909,
2021-05-30,Group 3,Northland,1,1738,
2021-05-30,Group 3,Northland,2,282,
2021-05-30,Group 3,Other Sites,1,108,
2021-05-30,Group 3,Other Sites,2,7,
2021-05-30,Group 3,South Canterbury,1,96,
2021-05-30,Group 3,South Canterbury,2,24,
2021-05-30,Group 3,Southern,1,2920,
2021-05-30,Group 3,Southern,2,30,
2021-05-30,Group 3,Tairawhiti,1,420,
2021-05-30,Group 3,Taranaki,1,214,
2021-05-30,Group 3,Waikato,1,1514,
2021-05-30,Group 3,Waikato,2,420,
2021-05-30,Group 3,Wairarapa,1,370,
2021-05-30,Group 3,Wairarapa,2,28,
2021-05-30,Group 3,West Coast,1,517,
2021-05-30,Group 3,West Coast,2,30,
2021-05-30,Group 3,Whanganui,1,762,
2021-05-30,Group 3,Whanganui,2,166,
2021-05-30,Group 4,Auckland Metro,1,5487,
2021-05-30,Group 4,Auckland Metro,2,1512,
2021-05-30,Group 4,Bay of Plenty,1,192,
2021-05-30,Group 4,Canterbury,1,159,
2021-05-30,Group 4,Canterbury,2,8,
2021-05-30,Group 4,Capital & Coast and Hutt Valley,1,182,
2021-05-30,Group 4,Capital & Coast and Hutt Valley,2,232,
2021-05-30,Group 4,Hawke's Bay,1,1255,
2021-05-30,Group 4,Lakes,1,241,
2021-05-30,Group 4,MidCentral,1,279,
2021-05-30,Group 4,Nelson Marlborough,1,86,
2021-05-30,Group 4,Northland,1,778,
2021-05-30,Group 4,Northland,2,124,
2021-05-30,Group 4,Other Sites,1,55,
2021-05-30,Group 4,South Canterbury,1,61,
2021-05-30,Group 4,Southern,1,223,
2021-05-30,Group 4,Tairawhiti,1,234,
2021-05-30,Group 4,Taranaki,1,18,
2021-05-30,Group 4,Waikato,1,431,
2021-05-30,Group 4,Waikato,2,9,
2021-05-30,Group 4,Wairarapa,1,13,
2021-05-30,Group 4,West Coast,1,39,
2021-05-30,Group 4,Whanganui,1,92,
2021-06-06,Group 1,Auckland Metro,1,328,
2021-06-06,Group 1,Auckland Metro,2,937,
2021-06-06,Group 1,Bay of Plenty,1,32,
2021-06-06,Group 1,Bay of Plenty,2,42,
2021-06-06,Group 1,Canterbury,1,195,
2021-06-06,Group 1,Canterbury,2,568,
2021-06-06,Group 1,Capital & Coast and Hutt Valley,1,97,
2021-06-06,Group 1,Capital & Coast and Hutt Valley,2,345,
2021-06-06,Group 1,Hawke's Bay,1,13,
2021-06-06,Group 1,Hawke's Bay,2,68,
2021-06-06,Group 1,Lakes,1,29,
2021-06-06,Group 1,Lakes,2,124,
2021-06-06,Group 1,MidCentral,1,38,
2021-06-06,Group 1,MidCentral,2,28,
2021-06-06,Group 1,Nelson Marlborough,1,13,
2021-06-06,Group 1,Nelson Marlborough,2,47,
2021-06-06,Group 1,Northland,1,6,
2021-06-06,Group 1,Northland,2,9,
2021-06-06,Group 1,Other Sites,1,126,
2021-06-06,Group 1,Other Sites,2,570,
2021-06-06,Group 1,South Canterbury,2,6,
2021-06-06,Group 1,Southern,1,102,
2021-06-06,Group 1,Southern,2,68,
2021-06-06,Group 1,Tairawhiti,2,10,
2021-06-06,Group 1,Taranaki,1,12,
2021-06-06,Group 1,Taranaki,2,6,
2021-06-06,Group 1,Waikato,1,24,
2021-06-06,Group 1,Waikato,2,52,
2021-06-06,Group 2,Auckland Metro,1,9843,
2021-06-06,Group 2,Auckland Metro,2,10481,
2021-06-06,Group 2,Bay of Plenty,1,1160,
2021-06-06,Group 2,Bay of Plenty,2,1316,
2021-06-06,Group 2,Canterbury,1,2290,
2021-06-06,Group 2,Canterbury,2,2831,
2021-06-06,Group 2,Capital & Coast and Hutt Valley,1,574,
2021-06-06,Group 2,Capital & Coast and Hutt Valley,2,3470,
2021-06-06,Group 2,Hawke's Bay,1,277,
2021-06-06,Group 2,Hawke's Bay,2,1813,
2021-06-06,Group 2,Lakes,1,880,
2021-06-06,Group 2,Lakes,2,609,
2021-06-06,Group 2,MidCentral,1,538,
2021-06-06,Group 2,MidCentral,2,1499,
2021-06-06,Group 2,Nelson Marlborough,1,128,
2021-06-06,Group 2,Nelson Marlborough,2,809,
2021-06-06,Group 2,Northland,1,352,
2021-06-06,Group 2,Northland,2,1648,
2021-06-06,Group 2,Other Sites,1,1083,
2021-06-06,Group 2,Other Sites,2,1569,
2021-06-06,Group 2,South Canterbury,1,22,
2021-06-06,Group 2,South Canterbury,2,270,
2021-06-06,Group 2,Southern,1,1322,
2021-06-06,Group 2,Southern,2,1572,
2021-06-06,Group 2,Tairawhiti,1,75,
2021-06-06,Group 2,Tairawhiti,2,263,
2021-06-06,Group 2,Taranaki,1,217,
2021-06-06,Group 2,Taranaki,2,522,
2021-06-06,Group 2,Waikato,1,957,
2021-06-06,Group 2,Waikato,2,2361,
2021-06-06,Group 2,Wairarapa,1,101,
2021-06-06,Group 2,Wairarapa,2,542,
2021-06-06,Group 2,West Coast,1,94,
2021-06-06,Group 2,West Coast,2,393,
2021-06-06,Group 2,Whanganui,1,144,
2021-06-06,Group 2,Whanganui,2,513,
2021-06-06,Group 3,Auckland Metro,1,8973,
2021-06-06,Group 3,Auckland Metro,2,1350,
2021-06-06,Group 3,Bay of Plenty,1,3118,
2021-06-06,Group 3,Bay of Plenty,2,1635,
2021-06-06,Group 3,Canterbury,1,496,
2021-06-06,Group 3,Canterbury,2,57,
2021-06-06,Group 3,Capital & Coast and Hutt Valley,1,1710,
2021-06-06,Group 3,Capital & Coast and Hutt Valley,2,596,
2021-06-06,Group 3,Hawke's Bay,1,3731,
2021-06-06,Group 3,Hawke's Bay,2,64,
2021-06-06,Group 3,Lakes,1,1707,
2021-06-06,Group 3,Lakes,2,308,
2021-06-06,Group 3,MidCentral,1,1305,
2021-06-06,Group 3,MidCentral,2,539,
2021-06-06,Group 3,Nelson Marlborough,1,1939,
2021-06-06,Group 3,Nelson Marlborough,2,1469,
2021-06-06,Group 3,Northland,1,2344,
2021-06-06,Group 3,Northland,2,202,
2021-06-06,Group 3,Other Sites,1,16,
2021-06-06,Group 3,Other Sites,2,8,
2021-06-06,Group 3,South Canterbury,1,2189,
2021-06-06,Group 3,South Canterbury,2,242,
2021-06-06,Group 3,Southern,1,4987,
2021-06-06,Group 3,Southern,2,58,
2021-06-06,Group 3,Tairawhiti,1,538,
2021-06-06,Group 3,Taranaki,1,242,
2021-06-06,Group 3,Taranaki,2,16,
2021-06-06,Group 3,Waikato,1,1931,
2021-06-06,Group 3,Waikato,2,510,
2021-06-06,Group 3,Wairarapa,1,606,
2021-06-06,Group 3,Wairarapa,2,100,
2021-06-06,Group 3,West Coast,1,523,
2021-06-06,Group 3,West Coast,2,195,
2021-06-06,Group 3,Whanganui,1,1543,
2021-06-06,Group 3,Whanganui,2,203,
2021-06-06,Group 4,Auckland Metro,1,6500,
2021-06-06,Group 4,Auckland Metro,2,1065,
2021-06-06,Group 4,Bay of Plenty,1,196,
2021-06-06,Group 4,Canterbury,1,251,
2021-06-06,Group 4,Canterbury,2,15,
2021-06-06,Group 4,Capital & Coast and Hutt Valley,1,134,
2021-06-06,Group 4,Capital & Coast and Hutt Valley,2,52,
2021-06-06,Group 4,Hawke's Bay,1,1074,
2021-06-06,Group 4,Hawke's Bay,2,7,
2021-06-06,Group 4,Lakes,1,149,
2021-06-06,Group 4,MidCentral,1,133,
2021-06-06,Group 4,MidCentral,2,6,
2021-06-06,Group 4,Nelson Marlborough,1,19,
2021-06-06,Group 4,Nelson Marlborough,2,5,
2021-06-06,Group 4,Northland,1,751,
2021-06-06,Group 4,Northland,2,102,
2021-06-06,Group 4,Other Sites,1,58,
2021-06-06,Group 4,South Canterbury,1,119,
2021-06-06,Group 4,Southern,1,291,
2021-06-06,Group 4,Tairawhiti,1,133,
2021-06-06,Group 4,Taranaki,1,17,
2021-06-06,Group 4,Waikato,1,460,
2021-06-06,Group 4,Waikato,2,14,
2021-06-06,Group 4,Wairarapa,1,34,
2021-06-06,Group 4,West Coast,1,96,
2021-06-06,Group 4,Whanganui,1,78,
2021-06-13,Group 1,Auckland Metro,1,272,
2021-06-13,Group 1,Auckland Metro,2,668,
2021-06-13,Group 1,Bay of Plenty,1,36,
2021-06-13,Group 1,Bay of Plenty,2,28,
2021-06-13,Group 1,Canterbury,1,144,
2021-06-13,Group 1,Canterbury,2,424,
2021-06-13,Group 1,Capital & Coast and Hutt Valley,1,70,
2021-06-13,Group 1,Capital & Coast and Hutt Valley,2,240,
2021-06-13,Group 1,Hawke's Bay,1,8,
2021-06-13,Group 1,Hawke's Bay,2,15,
2021-06-13,Group 1,Lakes,1,50,
2021-06-13,Group 1,Lakes,2,45,
2021-06-13,Group 1,MidCentral,1,8,
2021-06-13,Group 1,MidCentral,2,13,
2021-06-13,Group 1,Nelson Marlborough,1,9,
2021-06-13,Group 1,Nelson Marlborough,2,46,
2021-06-13,Group 1,Northland,1,5,
2021-06-13,Group 1,Northland,2,6,
2021-06-13,Group 1,Other Sites,1,109,
2021-06-13,Group 1,Other Sites,2,48,
2021-06-13,Group 1,South Canterbury,1,7,
2021-06-13,Group 1,South Canterbury,2,5,
2021-06-13,Group 1,Southern,1,46,
2021-06-13,Group 1,Southern,2,99,
2021-06-13,Group 1,Tairawhiti,2,10,
2021-06-13,Group 1,Taranaki,2,5,
2021-06-13,Group 1,Waikato,1,19,
2021-06-13,Group 1,Waikato,2,24,
2021-06-13,Group 1,Whanganui,2,20,
2021-06-13,Group 2,Auckland Metro,1,10692,
2021-06-13,Group 2,Auckland Metro,2,8714,
2021-06-13,Group 2,Bay of Plenty,1,370,
2021-06-13,Group 2,Bay of Plenty,2,954,
2021-06-13,Group 2,Canterbury,1,3071,
2021-06-13,Group 2,Canterbury,2,2239,
2021-06-13,Group 2,Capital & Coast and Hutt Valley,1,318,
2021-06-13,Group 2,Capital & Coast and Hutt Valley,2,1669,
2021-06-13,Group 2,Hawke's Bay,1,323,
2021-06-13,Group 2,Hawke's Bay,2,660,
2021-06-13,Group 2,Lakes,1,796,
2021-06-13,Group 2,Lakes,2,248,
2021-06-13,Group 2,MidCentral,1,584,
2021-06-13,Group 2,MidCentral,2,1124,
2021-06-13,Group 2,Nelson Marlborough,1,367,
2021-06-13,Group 2,Nelson Marlborough,2,465,
2021-06-13,Group 2,Northland,1,782,
2021-06-13,Group 2,Northland,2,1177,
2021-06-13,Group 2,Other Sites,1,1029,
2021-06-13,Group 2,Other Sites,2,1023,
2021-06-13,Group 2,South Canterbury,1,40,
2021-06-13,Group 2,South Canterbury,2,148,
2021-06-13,Group 2,Southern,1,918,
2021-06-13,Group 2,Southern,2,1551,
2021-06-13,Group 2,Tairawhiti,1,102,
2021-06-13,Group 2,Tairawhiti,2,350,
2021-06-13,Group 2,Taranaki,1,395,
2021-06-13,Group 2,Taranaki,2,307,
2021-06-13,Group 2,Waikato,1,987,
2021-06-13,Group 2,Waikato,2,1596,
2021-06-13,Group 2,Wairarapa,1,14,
2021-06-13,Group 2,Wairarapa,2,102,
2021-06-13,Group 2,West Coast,1,84,
2021-06-13,Group 2,West Coast,2,235,
2021-06-13,Group 2,Whanganui,1,81,
2021-06-13,Group 2,Whanganui,2,470,
2021-06-13,Group 3,Auckland Metro,1,7631,
2021-06-13,Group 3,Auckland Metro,2,2605,
2021-06-13,Group 3,Bay of Plenty,1,2482,
2021-06-13,Group 3,Bay of Plenty,2,2112,
2021-06-13,Group 3,Canterbury,1,413,
2021-06-13,Group 3,Canterbury,2,202,
2021-06-13,Group 3,Capital & Coast and Hutt Valley,1,1999,
2021-06-13,Group 3,Capital & Coast and Hutt Valley,2,559,
2021-06-13,Group 3,Hawke's Bay,1,2428,
2021-06-13,Group 3,Hawke's Bay,2,404,
2021-06-13,Group 3,Lakes,1,1608,
2021-06-13,Group 3,Lakes,2,788,
2021-06-13,Group 3,MidCentral,1,1427,
2021-06-13,Group 3,MidCentral,2,477,
2021-06-13,Group 3,Nelson Marlborough,1,2195,
2021-06-13,Group 3,Nelson Marlborough,2,1317,
2021-06-13,Group 3,Northland,1,2447,
2021-06-13,Group 3,Northland,2,489,
2021-06-13,Group 3,Other Sites,2,8,
2021-06-13,Group 3,South Canterbury,1,1459,
2021-06-13,Group 3,South Canterbury,2,130,
2021-06-13,Group 3,Southern,1,2681,
