Address,Opening hours,location,Event description,page
"Free bus service: Onehunga High School, 24 Pleasant View, Onehunga",9am to 3pm,Central Auckland,,Auckland
"Free bus service: Sky City and Federal Street, Victoria St & Federal St",12pm to 8pm,Central Auckland,,Auckland
"Tamaki, 261 Morrin Rd, St Johns",8am to 3:30pm,East Auckland,"Subway Cookies, ice cream, sausage sizzle, entertainment",Auckland
"Highbury Mall, next to Paper Plus bookstore, Birkenhead",8am to 8pm,North Auckland,Spot prizes donated by local businesses Massive balloon display on entrance,Auckland
"Oaklands Road, last building at the end of Oaklands Road, Albany",8am to 8:30pm,North Auckland,"Coffee cart in the morning Mr Whippy visit, chocolate fish to vaccinated Summer theme, spot prizes Decorating booths game",Auckland
"Orewa Service Centre, 50 Centreway Road",8am to 7:30pm,North Auckland,Beach theme with staff dressing up Live music,Auckland
"Eventfinda Stadium Carpark, Silverfield Road, Wairau Valley",12:45pm to 3:30pm,North Auckland,Music and entertainment,Auckland
"Free bus service: LDS Church Beach Haven, 4 Aeroview Drive, Beach Haven",7:30am to 12pm,North Auckland,,Auckland
"Jab-a-Seat, 10 Laurence Stevens Drive",9am to 5pm,South Auckland,Get vaccinated on a plane (fully booked),Auckland
"Park and Ride, 42 Verissimo Drive",8am to 6pm,South Auckland,"Subway cookies, iceblocks, coffee cart, sausage sizzle by Rapid Relief Team, free Milo cans",Auckland
"Highbrook, 31 Highbrook Drive, East Tamaki",8am to 3:30pm,South Auckland,"Sausage sizzle, DJ entertainment, coffee cart and ice cream, fish and chip truck, Christmas tree with summer decorations",Auckland
"Manukau Institute of Technology (Otara campus), 5 Otara Rd",8am to 6:30pm,South Auckland,Subway cookies and sausage sizzle,Auckland
"Manurewa, 81 Finlayson Ave, Clendon Park",9am to 3pm,South Auckland,"Kai packs, coffee cart, sausage sizzle, spot prizes, and Nestle Milo cans",Auckland
"Pukekohe, 6 Roulston Street",8:30am to 6:30pm,South Auckland,"Kai, sausage sizzle, subway cookies",Auckland
"TAKANINI, 8 Great South Rd",8:30am to 4:00pm,South Auckland,"COVID-19 vaccine quiz, spot prizes, chocolates and chippies, subway cookies",Auckland
"PAPAKURA MARAE, 29 Hunua Road",12pm to 8pm,South Auckland,Free Milo cans,Auckland
"Free bus service: LDS Church, 15 Robertson Road",9am to 6pm,South Auckland,,Auckland
"Free bus service: Komiti Tina & Tama’ita’l o Samoa, 95 Browns Road, Manurewa",9am to 5pm,South Auckland,Free Milo cans,Auckland
"Free bus service: Otara Car Park, 20 Newbury Street, Otara",8:30am to 5pm,South Auckland,,Auckland
"Otara Medical Centre, 3/100 Alexander Crescent",9am to 4:30pm,South Auckland,"Hangi, free Milo, win one of 20 x $20 Chemist Waerehouse Vouchers",Auckland
"Henderson, 28-30 Catherine Street",9am to 7pm,West Auckland,"Hangi, kai, entertainment. Snacks and tea/coffee by Anjuman- e- Saifee charity",Auckland
"Westgate , 11 Westgate Drive",8:30am to 4pm,West Auckland,Coffee cart and ice cream truck,Auckland
"Te Kura Kaupap o Hoani Waititi, 451 West Coast Rd, Oratia",10am to 4pm,West Auckland,"Win an iPad, Samsung Galaxy A12, Bose Speakers, JBL Headphones. First 100 people vaccinated get a hangi. Vouchers and spot prizes. Free coffee, tea, and hot chocolate",Auckland
"Bethlehem Medical, 16 Bethlehem Road, Bethlehem, Tauranga",8.30am to 12pm,Tauranga,"BBQ fun day, sausage sizzle, balloons and lollies",Bay of Plenty
"Life Pharmacy Tauranga, 53 Devonport Road, Tauranga",9am to 5pm,Tauranga,Free coffee vouchers with your vaccination,Bay of Plenty
"Merivale Community Centre Door Knocking, Tauranga",11am to 3pm,Tauranga,Free community BBQ,Bay of Plenty
"The Doctors Tauranga, 434 Devonport Road, Tauranga South",8:30am to 3:30pm,Tauranga,Grab a coffee and get your shot,Bay of Plenty
"Welcome Bay Community Centre, 242 Welcome Bay Road, Welcome Bay, Tauranga",11.30am to 3pm,Tauranga,Free community BBQ,Bay of Plenty
"Katikati RSA, Corner of Henry Road & Main Road",10am to 3pm,Katikati,Community BBQ and walk-in vaccination clinic,Bay of Plenty
"Ohope Beach Medical Centre, 262 Pohutukawa Avenue, Ōhope",9am to 12pm,Ōhope,Coffee vouchers and BBQ for those who get vaccinated,Bay of Plenty
"Whakatōhea Health Centre, 32A King Street, Ōpōtiki",12:30pm to 4:30pm,Ōpōtiki,"Free kai and a $10 pledge towards every vaccinated person's nominated school, kura, marae or the Eastern Bay hospice",Bay of Plenty
"Kawerau Town Hall, Islington Street",9am to 3pm,Kawerau,Walk-in vaccinations with free kai and ice cream,Bay of Plenty
"Edgecumbe Pharmacy, Riverslea Mall, 1/26 College Road",9am to 4pm,Edgecumbe,Chez Louis pizza for everyone who gets their shot!,Bay of Plenty
"Riverslea Medical Centre, Riverslea Mall, 26 College Road, Edgecumbe",8am to 12pm,Edgecumbe,Free kai,Bay of Plenty
"Unichem Cherrywood Pharmacy, 52-54 Cherrywood Drive",9am to 3pm,Ōtūmoetai,$5 coffee voucher and a $10 Cherrywood Butchery voucher for everyone who gets vaccinated.,Bay of Plenty
Mount Maunganui beach,9am to 5pm,Mount Maunganui,Pop-up vaccination clinic and free ice cream at the beach volleyball,Bay of Plenty
"The Doctors Bayfair, 42 Girven Road,",9.30 am to 2.30 pm,Mount Maunganui,Free coffee with walk-in vaccinations,Bay of Plenty
"Bethlehem Pharmacy, 229D State Highway 2",11am to 3pm,Bethlehem,$10 gift voucher,Bay of Plenty
"Unichem Brookfield Pharmacy, Corner Bellevue & Ōtūmoetai Roads",8:30am to 4pm,Brookfield,,Bay of Plenty
"Whakatāne Vaccination Centre, 11 Quay Street, Whakatāne",8am to 6pm,Whakatāne,"Community BBQ pitstop and walk-in vaccinations with free burgers, ice cream, and spot prizes",Bay of Plenty
"Unichem Total Health Pharmacy, 252 The Strand, Whakatāne",9am to 4pm,Whakatāne,Coffee and café vouchers for those who get their shot,Bay of Plenty
"The Doctors Phoenix, 16 Pyne Street, Whakatāne",9:30am to 4:30pm,Whakatāne,Free coffee and cookies,Bay of Plenty
"Te Puna Ora o Mataatua, Whakatāne PAK’N’SAVE carpark, King Street, Kopeopeo",10am to 3pm,Whakatāne,Walk-in vaccinations and free hāngī,Bay of Plenty
"Rotorua COVID-19 community vaccination centre (hub), Central Mall, Amohau Street",8am to 6pm,Rotorua,,Bay of Plenty
"Te Arawa COVID-19 Drive Through, 33 Clayton Road (former Foodstuffs distribution centre)",12 noon to 6pm,Rotorua,,Bay of Plenty
"Unichem Central Pharmacy, 1181 Amohia Street",9:30 to 4:30pm,Rotorua,,Bay of Plenty
"Unichem Central Mall, Amohau Street",9am to 5:30pm,Rotorua,,Bay of Plenty
"Fordlands Community Centre, Bellingham Crescent",10am to 2pm,Rotorua,,Bay of Plenty
"Ranolf Medical Centre, 59 Ranolf Street",10am to 2pm,Rotorua,,Bay of Plenty
"The Doctors Phoenix, Pyne Street, Whakatanē",9:30am to 4:30pm,Super accessible vaccination sites,,Bay of Plenty
"Baypark, 81 Truman Lane, Mount Maunganui",8am to 8pm,Super accessible vaccination sites,,Bay of Plenty
"Rakaia Medical Centre, 30 Elizabeth Ave, Rakaia",10am to 4.30pm,Ashburton,,Canterbury
"Ashburton Health First, 308 Havelock Street",10am to 12pm,Ashburton,,Canterbury
"Methven Medical Centre, 4 Methven Chertsey Road",10am to 4.30pm,Ashburton,,Canterbury
"Allenton Pharmacy, 67 Harrison Street",11.30am to 4pm,Ashburton,,Canterbury
"Three Rivers Health, 7-11 Allens Road",8.30am to 8.30pm,Ashburton,,Canterbury
"Eastfield Health, 135 Tancred Street",9am to 4pm,Ashburton,,Canterbury
"Wises Pharmacy, Shop 4/155 Wills Street",9am to 1pm,Ashburton,,Canterbury
"Akaroa Health VC, 2 Aylmers Valley Rd",10am to 2pm,Banks Peninsula,,Canterbury
Drive ins at the Christchurch Arena drive through clinic,9am to 7.30pm,Christchurch,"Pizza and taco food trucks, bands and DJs, rugby ticket giveaways, ZM onsite from 3-6.30pm, and free lollies",Canterbury
Etu Pasifika Pacific Health Clinic,9am to 4.30pm,Christchurch,Tongan community drive-through vaccinations,Canterbury
Ki te Tihi Hapori Hauora - Eastgate,10am to 4pm,Christchurch,"Bouncy castle (Level 2 appropriate), sausage sizzle Mitre10 (free for the vaccinated), Police Community BBQ (free for all), Rollickin Gelato (for vaccinated), music jam with local musicians, radio stations on site — Black Thunders; Mai FM, instant prizes for people who have been vaccinated, vaccinator educators, win a Swandri jacket, or sleeping bag.",Canterbury
Geraldine Rural Mobile Clinic,9am to 3pm,Geraldine,,Canterbury
"Super Saturday at Amberley Farmer's Market, Hurunui District Council offices, 66 Carters Road, Amberley",9am to 1pm,Hurunui,$5 Farmers Market voucher for anyone who gets a vaccine on the day,Canterbury
"Kaikōura Health Te Ha O Te Ora, 25 Deal Street, Kaikōura",10am to 4pm,Kaikōura,,Canterbury
"Unichem Rolleston Central Pharmacy, Shop 3 East, Rolleston Square East, 9 Masefield Drive",12:15pm to 4:15pm,Selwyn,,Canterbury
"WeCare Lincoln, 6/3 Vernon Drive, Halswell",9am to 4pm,Selwyn,,Canterbury
"Temuka Pharmacy, 178 King Street",9am to 12pm and 1pm to 3pm,Temuka,,Canterbury
"Temuka Family Practice, 178 King Street, Temuka",2pm to 8:30pm,Temuka,,Canterbury
"Aorangi Stadium, 70 Morgans Road, Glenwood, Timaru",9am to 3pm,Timaru,,Canterbury
"Ashbury Pharmacy, Shop 14, Northtown Mall, 1 Ranui Avenue, Waimataitai",2pm to 5pm,Timaru,,Canterbury
"Roberts Pharmacy, 45 Heaton Street, Parkside, Timaru",10am to 4pm and 6pm to 8:30pm,Timaru,,Canterbury
"Kurow Medical Centre, 3A Benmore Place, Twizel","9am to 1pm, and 1:30pm to 3:30pm",Twizel,,Canterbury
"Kaiapoi Family Doctors, 42 Charles Street",10am to 3.:0pm,Waimakariri,,Canterbury
"Rangiora Durham Health, 15 Durham Street",9am to 8pm,Waimakariri,,Canterbury
"Stans Pharmacy, 15 Ashley Street",9am to 5pm,Waimakariri,,Canterbury
"Unichem Medical Corner Pharmacy (Rangiora), 237A High Street",9am to 3pm,Waimakariri,,Canterbury
"Ashbury Pharmacy, Shop 14, Northtown Mall, 1 Ranui Avenue, Waimataitai",2pm to 5pm,Waimataitai,,Canterbury
"Oak House Practice, 161 Queen Street, Waimate",10am to 2pm,Waimate,,Canterbury
"Waimate Medical Centre, 84 Queen Street, Waimate",9am to 12 noon,Waimate,,Canterbury
"Three Rivers Health, 7-11 Allens Road, Ashburton",8:30am to 8:30pm,Super accessible vaccination centres,,Canterbury
"Maui Clinic South City South City Shop 15, 555 Colombo St, Central City, Christchurch",9:30am to 4.30pm,Super accessible vaccination centres,,Canterbury
"Ki te Tihi Hapori Hauora - Eastgate Mall, Christchurch",10am to 4pm,Super accessible vaccination centres,,Canterbury
"Barrington Hub Barrington Mall, 256 Barrington St, Spreydon",9am to 6pm,Super accessible vaccination centres,,Canterbury
"Kowhai House, 295 Palmerston Road",9am to 3pm,,"Free kai, coffee cart",Gisborne
"Te Tini O Porou, 75 Huxley Road, Kaiti",10am to 5pm,,"Karpark Kareoke, DJ, free BBQ, hangi, coffee cart",Gisborne
"Drive Thru Harry Barker Reserve, 121 Lytton Road, Te Hapara",10am to 2pm,,"Free kai, coffee cart",Gisborne
Tairāwhiti Arts Festival,4pm to 8pm,,Pop-up clinic,Gisborne
"Community Vaccination Clinic, 295 Palmerston Road, Gisborne",9am to 8pm,,Super accessible vaccination centres,Gisborne
"Te Tini o Porou, Cnr Huxley and Tyndall Road, Kaitī, Gisborne",9am to 6pm,,Super accessible vaccination centres,Gisborne
"Harry Barker Reserve, Drive Thru Vaccination Clinic, Lytton Road, Elgin, Gisborne",10am to 2pm,,Super accessible vaccination centres,Gisborne
"Te Arai I Whiti — Light Festival Lawson Field Theatre, Fitzherbert Street, Whataupoko, Gisborne",Evening,,Super accessible vaccination centres,Gisborne
"Waipawa Rugby Club Rooms, Waipawa Coronation Park, Tikikino Rd",9am to 6pm,Central Hawke's Bay,BBQ,Hawke's Bay
"Waipukurau Pharmacy, 125 Ruataniwha St",9am to 7:30pm,Central Hawke's Bay,BBQ,Hawke's Bay
"Waipukurau drive-through, corner River Tce and St Joseph St",9am to 7:30pm,Central Hawke's Bay,BBQ,Hawke's Bay
"Splash Planet drive through, 1001 Grove Road, Parkvale, Hastings",9am to 7:30pm,Hastings,"Free food, coffee, and vouchers",Hawke's Bay
"Cook Islands Community Centre, 7 Swansea Road, Hastings",10am to 5:30pm,Hastings,Free food,Hawke's Bay
"Pukemokimoki Marae drive thru, 191 Riverbend Road, Napier",9am to 7pm,Napier,"Show up for breakfast and get a bacon and egg rolls. Plus sausage sizzle, Tiktok competition, and vouchers",Hawke's Bay
"Queen Street Practice, Wairoa Hospital, 24 Kitchener Street, Wairoa",8:30am to 5pm,Wairoa,"Wairoa City Council are putting on coffee, food, vouchers, and competition to win a phone",Hawke's Bay
"Waipawa Rugby Club Rooms, Coronation Park, 1 Tikokino Road, Waipawa",9am to 6:30pm (Booked appointments only — go to bookmyvaccine.nz),Super accessible vaccination centres,,Hawke's Bay
"Queen Street Practice, Wairoa Hospital, Kitchener Street, Wairoa",9am to 10am and 12pm to 4:30pm,Super accessible vaccination centres,,Hawke's Bay
"Pukemokimoki Marae, 191 Riverbend Road, Onekawa, Napier",9am to 5pm,Super accessible vaccination centres,,Hawke's Bay
"Splash Planet Drive-Through Centre, 1101 Grove Road, Parkvale, Hastings",9am to 7pm,Super accessible vaccination centres,,Hawke's Bay
Ruapehu Rugby Grounds,10am to 4pm,Ohakune,,Manawatū-Whanganui
"The Centre, 14-16 Seddon Street",10am to 4pm,Raetihi,,Manawatū-Whanganui
3 Hospital Road,8:45am to 4:30pm,Taihape,,Manawatū-Whanganui
"Pasifica Church — Community Hall, 71 Puriri Street, Tawhero",10am to 4:30pm,Whanganui,Food parcels and kai,Manawatū-Whanganui
"Te Rito, 60-82 Victoria Avenue",9am to 7pm,Whanganui,Coffee and a slice provided by Rotary Club,Manawatū-Whanganui
"Marton GP, 26 Stewart Street",9:30am to 2pm,Marton,,Manawatū-Whanganui
"Bulls Mobile Clinic, 4 Criterion Street Bulls",9:30am to 3:30pm,Bulls,,Manawatū-Whanganui
"Bulls Medical Centre, 71 High St",8:30am to 12pm,Bulls,,Manawatū-Whanganui
"Te Rito Vaccination Centre, 62 Victoria Ave, Whanganui",9am to 7pm,Super accessible vaccination centres,,Manawatū-Whanganui
"Central City Pharmacy, 121 Victoria Ave, Whanganui",9am to 4:30pm,Super accessible vaccination centres,,Manawatū-Whanganui
"Stewart Street Surgery, 26 Stewart St, Aramoho, Whanganui",9:30am to 2pm,Super accessible vaccination centres,,Manawatū-Whanganui
"The Centre, 14-16 Seddon St, Aramoho, Whanganui",10am to 4pm,Super accessible vaccination centres,,Manawatū-Whanganui
"Taihape Rural Health Centre, 3 Hospital Rd, Taihape",8:45am to 4:30pm,Super accessible vaccination centres,,Manawatū-Whanganui
"Redwoodtown school Blenheim, 90 Cleghorn Street, Redwoodtown, Blenheim",9am to 2pm,Blenheim,"Kai and coffee, raffle and prizes",Nelson/Marlborough
"Westwood Business Park, Springlands, near KMart and Pak 'n Save",9am to 4pm,Blenheim,"Food trucks, coffee cart, sausage sizzle, ice creams and spot prizes",Nelson/Marlborough
"Picton Healthcare Pharmacy, 6 High Street, Picton",9am to 7:30pm,Picton,,Nelson/Marlborough
"Super Saturday Mitre 10, 235 High Street, Motueka",10am to 2pm,Motueka,"BBQ, Ice Cream, raffle and prizes",Nelson/Marlborough
"Golden Bay Pharmacy Tākaka, 17 Commercial Street, Tākaka",9am to 6pm,Tākaka,,Nelson/Marlborough
"Super Saturday Stoke, 470 Main Road Stoke, Nelson",8:30am to 5pm,Nelson,"Kai and coffee, raffle and prizes",Nelson/Marlborough
"Tahunanui Community Day, 55/61 Muritai Street, Tahunanui, Nelson",11am to 6pm,Nelson,"Free kai and coffee, arts and crafts for kids, win a hamper if you're vaccinated, free transport available",Nelson/Marlborough
"Nelson Intermediate School Family Day, 112 Tipahi Street, Nelson",11am to 3pm,Nelson,"Get your vaccination, meet the Tasman Mako players, plus giveaways, prizes, information sessions, a bouncy castle, stalls, BBQ, and kids activities",Nelson/Marlborough
"Super Saturday Nelson Speedway, 105/123 Lansdowne Road, Richmond",5pm to 8pm,Richmond,Get vaccinated while you're waiting for the racing to start! Free passes to Speedway on offer.,Nelson/Marlborough
Murchison Health Centre,11am to 2pm,Murchison,Free coffee vouchers,Nelson/Marlborough
"Unichem Springlands Blenheim, 131 Middle Renwick Road, Blenheim",12pm to 6pm,Super accessible vaccination centres,,Nelson/Marlborough
"Richmond Vaccination Centre, 253 Queen Street, Richmond, Nelson",9am to 8pm,Super accessible vaccination centres,,Nelson/Marlborough
"Nelson Vaccination Centre, 16 Paru Paru Road, Nelson",9am to 8pm,Super accessible vaccination centres,,Nelson/Marlborough
"22A Normanby Street, Dargaville",10am to 3pm,,Super accessible vaccination centres,Northland
"The Old Warehouse, Matthews Ave, Kaitaia",9am to 4pm,,Super accessible vaccination centres,Northland
"Semenoff Stadium, 51 Okara Drive, Whangārei",9am to 4pm,,Super accessible vaccination centres,Northland
"Kerikeri Sports Complex, Bypass End Waipapa Rd, Kerikeri",9am to 4pm,,Super accessible vaccination centres,Northland
"Whananāki North Hall, 2162 next to Whananaki North Road, Whananaki",10 am : 1 pm,,Ki a Ora Ngātiwai,Northland
Mangakahia address tbc,10am : 1pm,,Te Hau Āwhiowhio ō Ōtāngarei Trust - Meat packs/petrol vouchers,Northland
"Bayview Medical Centre, 7 Bayview Road, Paihia",10am : 2pm,,Bayview Medical Centre,Northland
"Northland DHB Vaccination Clinic, 22a Normanby St, Dargaville",10am : 3pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Kensington Pharmacy, 4 Kensington Ave Whangārei",10am : 5.30pm,,Kensington Pharmacy,Northland
"Roving Van @ The Warehouse 149 Victoria St, Dargaville",10am : 6pm,,Te Ha Oranga – Kai/$2000 worth of prizes,Northland
"Te Pōtahi Marae, Te Kao",10:30am : 6pm,,Whakawhiti Ora Pai - music/kai/activities/prizes,Northland
"Bank St Medical, 121 Bank St Whangārei",7:30am : tbc,,Bank St Medical,Northland
"Buchanans Pharmacy, 81 Paramount Parade, Tikipunga",9am : 2pm,,Buchanans Pharmacy,Northland
"Northland DHB, Semenoff Stadium, 51 Okara Drive, Whangārei",9am : 4pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Northland DHB, The Old Warehouse, Matthews Ave, Kaitaia",11.30am : 6.30pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Northland DHB, Kerikeri Sports Complex, Waipapa Road, Kerikeri",9am : 4pm,,Northland DHB - Food/Fancy Dress/Ka Pai prize draw,Northland
"Hokianga Hospital, Honey St, Rawene",9am : 3pm,,Hauora Hokianga - Kawhe/Kai/Kōrero with Medical Officer of Health there to answer queries,Northland
"Raumanga Medical Centre, 170 Otaika Rd, Whangārei",9am : noon,,Raumanga Medical Centre,Northland
"David's Pharmacy, 6/4 Three Mile Bush Road, Kamo",9am : noon,,David's Pharmacy - Free coffees & hot chocolate,Northland
"The Doctors Tui, 425 Maunu Road, Whangārei",,,The Doctors Tui - Spot prizes,Northland
"Ōhaeawai Rugby Clubrooms, 6066 SH12, Ōhaewai",9am: 5pm,,Te Hau Ora O Ngāpuhi - Sausage sizzle/giveaways/bickies,Northland
"Hūpā Hātarei, Waikare Ave, Kāeo",10am : 2pm,,Te Rūnanga o Whaingaroa - Giveaways/Get vaccinated & select your Marae for prize draw,Northland
"Te Rarawa Clubrooms, 252 Ahipara Rd, Ahipara",10am : 2pm,,Te Hiku Hauora,Northland
"Moerewa Rugby Club, Simson Park, Moerewa",9am : 4pm,,Ngāti Hine Health Trust - Free kai/ entertainment/prizes,Northland
"Mokau Marae, 2355 Russell Road, Ōakura",10am : 1pm,,Te Hau Āwhiowhio Health Centre - Spot prizes/kai,Northland
"Ngāti Hine Health Trust, 5 Walter Street, Whangārei",10am : 2pm,,Ngāti Hine Health Trust - Fancy dress/spot prizes,Northland
"Coast to Coast Hauora Trust, 72 School Road, Wellsford",9am : 4pm,,Coast to Coast Health Care,Northland
"Mangawhai Medical Centre, 4 Fagan Place, Mangawhai",9am : 4pm,,Coast to Coast Health Care,Northland
"Paparoa Medical Centre, State Highway 12, Paparoa",9am : 4pm,,Coast to Coast Health Care,Northland
"Broadway Health, 36 Broadway, Kaikohe",9am : 4pm,,Broadway Health,Northland
"KeriMed Doctors, 2 Rānui Avenue, Kerikeri",,,KeriMed Doctors,Northland
"Bream Bay Medical Centre, Shop 22, Ruakākā Town Centre, Marsden Point Road, Ruakākā",,,Bream Bay Medical Centre,Northland
"James Street Doctors, Level 2/1 James Street, Whangārei",,,James St Doctors,Northland
"Te Aroha Noa Medical Centre, 73 Bank Street, Whangārei",,,Te Aroha Noa Medical Centre,Northland
"Te Whareora Ō Tikipunga, 157 Kiripaka Road, Tikipunga, Whangārei",,,Te Whareora Ō Tikipunga,Northland
"The Doctors Tikipunga, 53 Paramount Parade, Tikipunga, Whangārei",,,The Doctors Tikipunga,Northland
"Te Houhanga A Rongo Marae, Station Rd, Dargaville",11am -2pm,,Te Houhanga - Spot Prizes,Northland
"Aurora Health Centre, 70 Macandrew Road, South Dunedin",1pm to 6.30pm,,Super accessible vaccination centres,Otago
"Bates Pharmacy, 40 Clyde Street, Balclutha",1pm to 6.30pm,,Super accessible vaccination centres,Otago
"Wanaka Medical Centre, 23 Cardrona Valley Road, Wanaka",9:30am to 12:30pm and 1pm to 6pm,,Super accessible vaccination centres,Otago
Alexandra Family Medical, 10am-2pm,Central Otago,,Otago
"Cromwell Pharmacy, Cromwell"," 10am-12.30pm, 1pm-3.30pm",Central Otago,"Live music, home baking and refreshments, sausage sizzle, spot prizes including scenic flights",Otago
"* Health Central, Alexandra"," 9.30am-12.30pm, 2.30pm-5.30pm",Central Otago,,Otago
"Roxburgh Medical Centre, Roxburgh", 10am-2pm,Central Otago,,Otago
"Unichem Alexandra, Alexandra", 9.30am-12pm,Central Otago,,Otago
Bates Pharmacy, 1pm-6.30pm,Clutha,,Otago
* Catlins Medical Centre," 10am-12pm, 1pm-3pm",Clutha,,Otago
* Clutha Health First," 9am-12pm, 1.30pm -4.10pm",Clutha,,Otago
Silver Fern Farms drive through, 9am-4pm,Clutha,Free meat giveaways,Otago
* West Otago Health, 4pm-8pm,Clutha,,Otago
The Octagon Super Saturday, 10am-3pm,Dunedin,"Food trucks, vouchers for vaccinations, live music, street performers",Otago
Albany Street Pharmacy, 10am-1pm,Dunedin,,Otago
Anderson's Exchange Pharmacy, 9am-12.30pm,Dunedin,Voucher prize draw and goody bags,Otago
Antidote Gardens, 9.15am-8pm,Dunedin,,Otago
Antidote Macandrew, 9am-5pm,Dunedin,,Otago
Antidote Meridian, 9am-4.30pm,Dunedin,,Otago
* Aurora Health Centre, 9.30am-1.30pm,Dunedin,,Otago
Bargain Chemist, 10am-4.45pm,Dunedin,,Otago
Dunedin Health Centre, 9am-1pm,Dunedin,,Otago
Gardens Medical Centre, 9.30am-12.30pm,Dunedin,,Otago
Green Island Boutique Pharmacy, 10am-11.45am,Dunedin,,Otago
Larsons Pharmacy," 10am-12.45pm, 1.30pm-5.45pm",Dunedin,,Otago
Life Pharmacy Dunedin," 10am-1pm, 2pm-4.20pm",Dunedin,"Cookies, wax treatment giveaways, 15% off purchase and bonus Living Rewards Points",Otago
McNaughton's Pharmacy, 9am-12pm,Dunedin,,Otago
"Meridian Mall, Lower Ground Floor, 267 George Street", 9.30am-5pm,Dunedin,Ice cream,Otago
Mornington Pharmacy, 9.30am-5pm,Dunedin,Coffee and ice cream available,Otago
Mornington Health Centre, 9.30am-1.30pm,Dunedin,Sausage sizzle and a $200 prezzie card prize draw,Otago
Mosgiel Health Centre," 9am-12.30pm, 1.30pm-4pm",Dunedin,,Otago
Pacific Trust Otago, 10am-3pm,Dunedin,Music and kai,Otago
* Pitt Street Medical Centre, 10am-2pm,Dunedin,,Otago
Port Chalmers Pharmacy, 9am-2.45pm,Dunedin,,Otago
* Roslyn Medical Centre, 9am-12pm,Dunedin,,Otago
Roslyn Pharmacy, 10am-4pm,Dunedin,,Otago
"Te Kāika, Victoria Road", 9am-4pm,Dunedin,Music and kai,Otago
Unichem Central Pharmacy Mosgiel, 9.40am-1.40pm,Dunedin,,Otago
Unichem Centre City Pharmacy, 10am-4.15pm,Dunedin,,Otago
Unichem Knox Pharmacy, 11am-4pm,Dunedin,,Otago
Unichem Taieri Pharmacy, 9am-2pm,Dunedin,,Otago
Gore Health Centre, 10am-3pm,Gore,,Otago
Gore Medical Centre, 10am-3pm,Gore,,Otago
La Hood's Chemist, 10am-4pm,Gore,,Otago
Catherine Street Medical Centre, 10am-12pm,Invercargill,,Otago
* Glengarry Medical Centre, 10am-4pm,Invercargill,,Otago
He Puna Waiora at Pacific Island Advisory & Cultural Trust, 10am-3pm,Invercargill,Music and kai,Otago
* South City Medical Centre, 10am-3pm,Invercargill,,Otago
Stewarts Pharmacy, 10am-2pm,Invercargill,,Otago
Queens Park General Practice, 10am-2pm,Invercargill,,Otago
Unichem South City Pharmacy, 10am-4pm,Invercargill,,Otago
* Victoria Avenue Medical Centre, 10am-1pm,Invercargill,,Otago
"Victoria Room, First Floor, Civic Centre, 88 Tay Street", 9am-4pm,Invercargill,ice cream,Otago
* Waikiwi Medical Centre, 11am-1.30pm,Invercargill,,Otago
Waikiwi Pharmacy, 1pm-4.30pm,Invercargill,Coffee available,Otago
Windsor Pharmacy, 10am-2pm,Invercargill,,Otago
