Ethnic group,Age group,Gender,DHB of residence,Population,Notes: 
Unknown,25-29,Male,Whanganui,7,
Unknown,25-29,Unknown/Other,Overseas / Unknown,7,
Unknown,30-34,Male,Northland,7,
Unknown,35-39,Female,Bay of Plenty,7,
Unknown,40-44,Male,Tairawhiti,7,
Unknown,5-11,Male,Overseas / Unknown,7,
Unknown,50-54,Female,Bay of Plenty,7,
Unknown,50-54,Female,Hutt Valley,7,
Unknown,50-54,Female,Northland,7,
Unknown,50-54,Male,Tairawhiti,7,
Unknown,70-74,Female,Wairarapa,7,
Unknown,70-74,Female,Whanganui,7,
Unknown,70-74,Male,Nelson Marlborough,7,
Unknown,80-84,Male,Southern,7,
Unknown,90+,Male,Waitemata,7,
Asian,18-24,Male,West Coast,8,
Asian,25-29,Unknown/Other,Canterbury,8,
Asian,25-29,Unknown/Other,Waikato,8,
Asian,40-44,Unknown/Other,Waitemata,8,
Asian,60-64,Male,West Coast,8,
Asian,75-79,Female,Tairawhiti,8,
Asian,80-84,Male,Whanganui,8,
Asian,85-89,Female,Taranaki,8,
Asian,90+,Female,Lakes,8,
European or Other,0-4,Unknown/Other,Auckland,8,
European or Other,12-17,Unknown/Other,Auckland,8,
European or Other,18-24,Unknown/Other,Waikato,8,
European or Other,25-29,Unknown/Other,Bay of Plenty,8,
European or Other,25-29,Unknown/Other,Hawkes Bay,8,
Maori,75-79,Female,Overseas / Unknown,8,
Maori,85-89,Female,South Canterbury,8,
Maori,90+,Male,MidCentral,8,
Pacific Peoples,35-39,Female,West Coast,8,
Pacific Peoples,85-89,Female,MidCentral,8,
Pacific Peoples,90+,Female,Canterbury,8,
Unknown,0-4,Unknown/Other,Auckland,8,
Unknown,12-17,Female,MidCentral,8,
Unknown,18-24,Female,Counties Manukau,8,
Unknown,18-24,Female,Capital and Coast,8,
Unknown,18-24,Male,Lakes,8,
Unknown,25-29,Female,Hawkes Bay,8,
Unknown,30-34,Female,Bay of Plenty,8,
Unknown,35-39,Female,Whanganui,8,
Unknown,40-44,Female,Bay of Plenty,8,
Unknown,45-49,Female,Hawkes Bay,8,
Unknown,45-49,Female,Northland,8,
Unknown,50-54,Female,Whanganui,8,
Unknown,55-59,Female,West Coast,8,
Unknown,60-64,Female,Whanganui,8,
Unknown,65-69,Female,Taranaki,8,
Unknown,70-74,Female,Nelson Marlborough,8,
Unknown,75-79,Female,Southern,8,
Unknown,75-79,Male,Taranaki,8,
Unknown,80-84,Female,Overseas / Unknown,8,
Unknown,80-84,Female,Southern,8,
Unknown,85-89,Female,Canterbury,8,
Unknown,85-89,Female,Lakes,8,
Unknown,85-89,Female,Southern,8,
Unknown,90+,Male,Counties Manukau,8,
Asian,18-24,Female,Tairawhiti,9,
Asian,18-24,Unknown/Other,Counties Manukau,9,
Asian,30-34,Unknown/Other,Southern,9,
Asian,65-69,Female,West Coast,9,
Asian,65-69,Male,Tairawhiti,9,
Asian,80-84,Female,Tairawhiti,9,
Asian,80-84,Female,Whanganui,9,
Asian,85-89,Female,Bay of Plenty,9,
Asian,85-89,Male,Lakes,9,
European or Other,18-24,Unknown/Other,Auckland,9,
European or Other,30-34,Unknown/Other,Counties Manukau,9,
Maori,90+,Female,Hutt Valley,9,
Maori,90+,Male,Counties Manukau,9,
Maori,90+,Male,Hawkes Bay,9,
Pacific Peoples,5-11,Unknown/Other,Counties Manukau,9,
Pacific Peoples,70-74,Female,Wairarapa,9,
Pacific Peoples,70-74,Male,Tairawhiti,9,
Pacific Peoples,75-79,Female,Nelson Marlborough,9,
Pacific Peoples,80-84,Female,Nelson Marlborough,9,
Pacific Peoples,85-89,Female,Lakes,9,
Pacific Peoples,90+,Female,Hutt Valley,9,
Pacific Peoples,90+,Female,Waikato,9,
Pacific Peoples,90+,Male,Capital and Coast,9,
Unknown,0-4,Female,Lakes,9,
Unknown,0-4,Female,Tairawhiti,9,
Unknown,0-4,Female,Taranaki,9,
Unknown,12-17,Female,Hawkes Bay,9,
Unknown,12-17,Male,Waitemata,9,
Unknown,18-24,Female,Auckland,9,
Unknown,18-24,Female,Lakes,9,
Unknown,25-29,Female,Bay of Plenty,9,
Unknown,25-29,Female,Nelson Marlborough,9,
Unknown,25-29,Female,Northland,9,
Unknown,35-39,Male,Bay of Plenty,9,
Unknown,40-44,Female,Hutt Valley,9,
Unknown,40-44,Female,Northland,9,
Unknown,40-44,Female,Taranaki,9,
Unknown,40-44,Male,Whanganui,9,
Unknown,45-49,Female,Lakes,9,
Unknown,5-11,Female,Hawkes Bay,9,
Unknown,55-59,Male,Tairawhiti,9,
Unknown,55-59,Male,Whanganui,9,
Unknown,60-64,Female,Taranaki,9,
Unknown,65-69,Male,Bay of Plenty,9,
Unknown,65-69,Male,Tairawhiti,9,
Unknown,70-74,Female,Taranaki,9,
Unknown,70-74,Male,Taranaki,9,
Unknown,75-79,Male,Bay of Plenty,9,
Unknown,75-79,Male,Nelson Marlborough,9,
Unknown,85-89,Female,Overseas / Unknown,9,
Unknown,90+,Female,Counties Manukau,9,
Asian,80-84,Female,South Canterbury,10,
Asian,80-84,Male,Northland,10,
Asian,80-84,Male,Overseas / Unknown,10,
Asian,85-89,Male,Southern,10,
European or Other,12-17,Unknown/Other,Waitemata,10,
Maori,85-89,Male,Wairarapa,10,
Maori,90+,Female,Nelson Marlborough,10,
Maori,90+,Female,Wairarapa,10,
Maori,90+,Male,Lakes,10,
Maori,90+,Male,Southern,10,
Maori,90+,Male,Tairawhiti,10,
Maori,90+,Male,Whanganui,10,
Pacific Peoples,50-54,Male,West Coast,10,
Pacific Peoples,55-59,Male,South Canterbury,10,
Pacific Peoples,75-79,Female,Overseas / Unknown,10,
Pacific Peoples,80-84,Male,Northland,10,
Pacific Peoples,85-89,Female,Southern,10,
Pacific Peoples,85-89,Male,Southern,10,
Unknown,30-34,Male,Tairawhiti,10,
Unknown,30-34,Unknown/Other,Overseas / Unknown,10,
Unknown,5-11,Female,Northland,10,
Unknown,5-11,Male,Hawkes Bay,10,
Unknown,50-54,Female,Hawkes Bay,10,
Unknown,60-64,Female,Bay of Plenty,10,
Unknown,65-69,Female,Bay of Plenty,10,
Unknown,65-69,Female,Hutt Valley,10,
Unknown,65-69,Female,Wairarapa,10,
Unknown,70-74,Male,Hutt Valley,10,
Unknown,75-79,Male,Hawkes Bay,10,
Unknown,75-79,Male,Overseas / Unknown,10,
Unknown,80-84,Male,Auckland,10,
Unknown,80-84,Male,Waitemata,10,
Unknown,80-84,Male,MidCentral,10,
Unknown,90+,Female,Waitemata,10,
Unknown,90+,Female,Overseas / Unknown,10,
Asian,18-24,Female,Wairarapa,11,
Asian,35-39,Unknown/Other,Counties Manukau,11,
Asian,45-49,Unknown/Other,Waitemata,11,
Asian,85-89,Female,Northland,11,
European or Other,18-24,Unknown/Other,Waitemata,11,
European or Other,5-11,Unknown/Other,Counties Manukau,11,
European or Other,5-11,Unknown/Other,Auckland,11,
Maori,80-84,Female,West Coast,11,
Maori,85-89,Male,Nelson Marlborough,11,
Maori,85-89,Male,West Coast,11,
Maori,90+,Female,Taranaki,11,
Maori,90+,Male,Canterbury,11,
Maori,90+,Male,Waikato,11,
Pacific Peoples,18-24,Female,West Coast,11,
Pacific Peoples,18-24,Male,West Coast,11,
Pacific Peoples,60-64,Male,South Canterbury,11,
Pacific Peoples,70-74,Female,Tairawhiti,11,
Pacific Peoples,70-74,Female,Taranaki,11,
Pacific Peoples,70-74,Male,Whanganui,11,
Pacific Peoples,75-79,Female,Whanganui,11,
Pacific Peoples,85-89,Male,Canterbury,11,
Unknown,12-17,Female,Overseas / Unknown,11,
Unknown,18-24,Male,Capital and Coast,11,
Unknown,30-34,Female,Hawkes Bay,11,
Unknown,30-34,Female,Nelson Marlborough,11,
Unknown,35-39,Female,Nelson Marlborough,11,
Unknown,65-69,Male,Whanganui,11,
Unknown,75-79,Female,Overseas / Unknown,11,
Unknown,80-84,Female,MidCentral,11,
Unknown,85-89,Male,Waitemata,11,
Asian,18-24,Unknown/Other,Auckland,12,
Asian,25-29,Unknown/Other,Waitemata,12,
Asian,5-11,Unknown/Other,Counties Manukau,12,
Asian,65-69,Female,Tairawhiti,12,
Asian,70-74,Female,Tairawhiti,12,
Asian,75-79,Male,Wairarapa,12,
Asian,90+,Male,Hutt Valley,12,
European or Other,18-24,Unknown/Other,Canterbury,12,
Pacific Peoples,18-24,Female,South Canterbury,12,
Pacific Peoples,65-69,Female,Tairawhiti,12,
Pacific Peoples,80-84,Female,Bay of Plenty,12,
Pacific Peoples,80-84,Male,Bay of Plenty,12,
Pacific Peoples,80-84,Male,Hawkes Bay,12,
Unknown,25-29,Female,Hutt Valley,12,
Unknown,30-34,Male,Bay of Plenty,12,
Unknown,35-39,Female,Northland,12,
Unknown,45-49,Female,Hutt Valley,12,
Unknown,45-49,Female,West Coast,12,
Unknown,45-49,Male,Whanganui,12,
Unknown,5-11,Female,Waitemata,12,
Unknown,50-54,Female,Lakes,12,
Unknown,50-54,Female,Taranaki,12,
Unknown,50-54,Male,Wairarapa,12,
Unknown,50-54,Male,Whanganui,12,
Unknown,55-59,Female,Lakes,12,
Unknown,55-59,Female,Taranaki,12,
Unknown,60-64,Male,Tairawhiti,12,
Unknown,70-74,Female,Northland,12,
Unknown,70-74,Female,Southern,12,
Unknown,75-79,Female,MidCentral,12,
Unknown,80-84,Male,Overseas / Unknown,12,
Unknown,85-89,Female,Auckland,12,
Unknown,85-89,Male,Counties Manukau,12,
Asian,18-24,Male,Tairawhiti,13,
Asian,65-69,Female,South Canterbury,13,
Asian,75-79,Female,Whanganui,13,
Asian,75-79,Male,Nelson Marlborough,13,
Asian,80-84,Female,Lakes,13,
Asian,80-84,Female,Overseas / Unknown,13,
European or Other,0-4,Unknown/Other,Counties Manukau,13,
Maori,80-84,Female,South Canterbury,13,
Pacific Peoples,30-34,Male,West Coast,13,
Pacific Peoples,40-44,Male,West Coast,13,
Pacific Peoples,55-59,Female,South Canterbury,13,
Pacific Peoples,60-64,Female,South Canterbury,13,
Pacific Peoples,70-74,Male,Nelson Marlborough,13,
Pacific Peoples,80-84,Female,Northland,13,
Pacific Peoples,85-89,Female,Canterbury,13,
Pacific Peoples,85-89,Male,Hutt Valley,13,
Unknown,0-4,Female,Hawkes Bay,13,
Unknown,25-29,Male,Bay of Plenty,13,
Unknown,35-39,Female,Hawkes Bay,13,
Unknown,35-39,Male,Whanganui,13,
Unknown,45-49,Female,Taranaki,13,
Unknown,55-59,Female,Northland,13,
Unknown,60-64,Female,Hawkes Bay,13,
Unknown,75-79,Male,Southern,13,
Unknown,85-89,Male,Capital and Coast,13,
Asian,18-24,Male,Wairarapa,14,
Asian,35-39,Unknown/Other,Waitemata,14,
Asian,35-39,Unknown/Other,Auckland,14,
Asian,70-74,Male,Whanganui,14,
Asian,75-79,Male,Whanganui,14,
Asian,85-89,Male,Bay of Plenty,14,
European or Other,25-29,Unknown/Other,Southern,14,
Maori,80-84,Male,South Canterbury,14,
Pacific Peoples,25-29,Female,West Coast,14,
Pacific Peoples,80-84,Female,Lakes,14,
Pacific Peoples,85-89,Female,Hawkes Bay,14,
Pacific Peoples,85-89,Male,Waikato,14,
Unknown,18-24,Female,MidCentral,14,
Unknown,25-29,Female,Taranaki,14,
Unknown,25-29,Male,Taranaki,14,
Unknown,35-39,Female,Hutt Valley,14,
Unknown,40-44,Female,West Coast,14,
Unknown,5-11,Female,Auckland,14,
Unknown,5-11,Female,MidCentral,14,
Unknown,55-59,Male,Wairarapa,14,
Unknown,60-64,Male,Wairarapa,14,
Unknown,60-64,Male,Whanganui,14,
Unknown,65-69,Female,Northland,14,
Unknown,65-69,Male,Wairarapa,14,
Unknown,70-74,Female,Hawkes Bay,14,
Unknown,70-74,Male,Northland,14,
Unknown,70-74,Male,Wairarapa,14,
Asian,25-29,Unknown/Other,Counties Manukau,15,
Asian,40-44,Unknown/Other,Auckland,15,
Asian,50-54,Male,West Coast,15,
Asian,55-59,Male,West Coast,15,
Asian,65-69,Male,Wairarapa,15,
Asian,70-74,Female,South Canterbury,15,
Asian,70-74,Male,South Canterbury,15,
Asian,80-84,Female,Nelson Marlborough,15,
Asian,90+,Female,MidCentral,15,
Asian,90+,Female,Southern,15,
European or Other,35-39,Unknown/Other,Auckland,15,
Maori,85-89,Male,Hutt Valley,15,
Pacific Peoples,0-4,Female,West Coast,15,
Pacific Peoples,0-4,Male,West Coast,15,
Pacific Peoples,18-24,Female,Overseas / Unknown,15,
Pacific Peoples,18-24,Female,Tairawhiti,15,
Pacific Peoples,18-24,Male,Tairawhiti,15,
Pacific Peoples,45-49,Male,West Coast,15,
Pacific Peoples,50-54,Female,West Coast,15,
Pacific Peoples,65-69,Female,Wairarapa,15,
Pacific Peoples,70-74,Female,Overseas / Unknown,15,
Pacific Peoples,70-74,Male,Overseas / Unknown,15,
Pacific Peoples,80-84,Male,MidCentral,15,
Unknown,12-17,Female,Canterbury,15,
Unknown,18-24,Male,Canterbury,15,
Unknown,25-29,Male,Hutt Valley,15,
Unknown,25-29,Male,Hawkes Bay,15,
Unknown,30-34,Female,Hutt Valley,15,
Unknown,5-11,Male,Waitemata,15,
Unknown,5-11,Male,MidCentral,15,
Unknown,60-64,Male,Bay of Plenty,15,
Unknown,75-79,Male,Lakes,15,
Unknown,85-89,Female,Capital and Coast,15,
Asian,25-29,Unknown/Other,Capital and Coast,16,
Asian,80-84,Female,Taranaki,16,
Asian,85-89,Female,Hawkes Bay,16,
European or Other,90+,Male,Overseas / Unknown,16,
Maori,75-79,Male,South Canterbury,16,
Pacific Peoples,40-44,Female,West Coast,16,
Pacific Peoples,55-59,Female,Overseas / Unknown,16,
Pacific Peoples,60-64,Female,Overseas / Unknown,16,
Pacific Peoples,70-74,Male,Wairarapa,16,
Pacific Peoples,75-79,Male,Lakes,16,
Pacific Peoples,90+,Female,Capital and Coast,16,
Unknown,25-29,Male,Lakes,16,
Unknown,35-39,Male,Nelson Marlborough,16,
Unknown,45-49,Male,Wairarapa,16,
Unknown,60-64,Female,Hutt Valley,16,
Unknown,60-64,Female,Northland,16,
Unknown,65-69,Female,Lakes,16,
Unknown,65-69,Female,Southern,16,
Unknown,80-84,Male,Canterbury,16,
Asian,90+,Male,Waikato,17,
Maori,75-79,Male,Overseas / Unknown,17,
Maori,85-89,Female,Wairarapa,17,
Maori,90+,Female,Capital and Coast,17,
Maori,90+,Female,Hawkes Bay,17,
Maori,90+,Female,Tairawhiti,17,
Pacific Peoples,45-49,Female,West Coast,17,
Pacific Peoples,60-64,Female,Tairawhiti,17,
Pacific Peoples,60-64,Male,Wairarapa,17,
Pacific Peoples,65-69,Female,Overseas / Unknown,17,
Pacific Peoples,65-69,Male,Overseas / Unknown,17,
Pacific Peoples,65-69,Male,Wairarapa,17,
Unknown,0-4,Female,Waitemata,17,
Unknown,0-4,Female,Capital and Coast,17,
Unknown,30-34,Male,Hawkes Bay,17,
Unknown,5-11,Male,Canterbury,17,
Unknown,65-69,Male,Nelson Marlborough,17,
Asian,18-24,Female,Wairarapa,18,
Asian,55-59,Male,Wairarapa,18,
Asian,75-79,Female,Nelson Marlborough,18,
Asian,75-79,Male,Taranaki,18,
Asian,85-89,Male,MidCentral,18,
European or Other,25-29,Unknown/Other,Waitemata,18,
Maori,80-84,Male,West Coast,18,
Maori,85-89,Male,Taranaki,18,
Maori,90+,Male,Bay of Plenty,18,
Pacific Peoples,18-24,Male,Overseas / Unknown,18,
Pacific Peoples,50-54,Male,South Canterbury,18,
Pacific Peoples,60-64,Female,Wairarapa,18,
Pacific Peoples,65-69,Male,Tairawhiti,18,
Pacific Peoples,75-79,Female,Lakes,18,
Pacific Peoples,75-79,Male,Northland,18,
Pacific Peoples,90+,Male,Waitemata,18,
Unknown,12-17,Male,MidCentral,18,
Unknown,18-24,Female,Southern,18,
Unknown,18-24,Male,Waitemata,18,
Unknown,30-34,Male,Hutt Valley,18,
Unknown,40-44,Male,Bay of Plenty,18,
Unknown,5-11,Female,Counties Manukau,18,
Unknown,55-59,Female,Hutt Valley,18,
Unknown,55-59,Female,Hawkes Bay,18,
Unknown,60-64,Male,Nelson Marlborough,18,
Unknown,65-69,Female,MidCentral,18,
Unknown,70-74,Female,Lakes,18,
Unknown,75-79,Male,Auckland,18,
Asian,30-34,Unknown/Other,Waitemata,19,
Asian,30-34,Unknown/Other,Auckland,19,
Asian,70-74,Female,Wairarapa,19,
Asian,80-84,Female,Northland,19,
Maori,75-79,Male,West Coast,19,
Maori,85-89,Female,Nelson Marlborough,19,
Maori,85-89,Male,Capital and Coast,19,
Maori,90+,Female,MidCentral,19,
Pacific Peoples,18-24,Male,South Canterbury,19,
Pacific Peoples,35-39,Male,West Coast,19,
Pacific Peoples,50-54,Female,South Canterbury,19,
Pacific Peoples,70-74,Female,Whanganui,19,
Pacific Peoples,85-89,Female,Waikato,19,
Unknown,0-4,Female,Counties Manukau,19,
Unknown,0-4,Female,MidCentral,19,
Unknown,0-4,Female,Waikato,19,
Unknown,0-4,Male,Waitemata,19,
Unknown,18-24,Male,MidCentral,19,
Unknown,35-39,Female,Southern,19,
Unknown,35-39,Male,Hawkes Bay,19,
Unknown,45-49,Male,Hutt Valley,19,
Unknown,45-49,Male,Northland,19,
Unknown,5-11,Female,Canterbury,19,
Unknown,50-54,Male,Bay of Plenty,19,
Unknown,50-54,Male,Northland,19,
Unknown,55-59,Male,Bay of Plenty,19,
Unknown,65-69,Male,Northland,19,
Unknown,70-74,Male,Bay of Plenty,19,
Asian,18-24,Female,South Canterbury,20,
Asian,18-24,Female,West Coast,20,
Asian,30-34,Unknown/Other,Counties Manukau,20,
Asian,50-54,Male,Wairarapa,20,
Asian,65-69,Male,South Canterbury,20,
Asian,70-74,Male,Taranaki,20,
Asian,75-79,Female,Taranaki,20,
Asian,85-89,Male,Hawkes Bay,20,
European or Other,25-29,Unknown/Other,Canterbury,20,
Pacific Peoples,30-34,Female,West Coast,20,
Pacific Peoples,65-69,Male,Taranaki,20,
Pacific Peoples,80-84,Male,Southern,20,
Unknown,12-17,Male,Counties Manukau,20,
